,Id,Name,Authors,ISBN,Rating,PublishYear,PublishMonth,PublishDay,Publisher,RatingDist5,RatingDist4,RatingDist3,RatingDist2,RatingDist1,RatingDistTotal,CountsOfReview,Language,PagesNumber,Description,pagesNumber,Count of text reviews
52371,2115046,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,0765356139,4.37,2008,6,3,Tor Fantasy,5:141311,4:100200,3:28207,2:4366,1:1220,total:275304,1377,eng,763.0,"They did the impossible, deposing the godlike being whose brutal rule had lasted a thousand years. Now Vin, the street urchin who has grown into the most powerful Mistborn in the land, and Elend Venture, the idealistic young nobleman who loves her, must build a healthy new society in the ashes of an empire.<br /><br />They have barely begun when three separate armies attack. As the siege tightens, an ancient legend seems to offer a glimmer of hope. But even if it really exists, no one knows where to find the Well of Ascension or what manner of power it bestows.<br /><br />It may just be that killing the Lord Ruler was the easy part. Surviving the aftermath of his fall is going to be the real challenge.",,
40737,809171,How To Talk to Anybody About Anything: Breaking the Ice With Everyone from Accountants to Zen Buddhists,Leil Lowndes,0806520779,3.24,2000,1,6,Citadel,5:8,4:10,3:21,2:6,1:4,total:49,2,eng,,"Reveals the most appropiate, provocative, and specific questions to ask members of specific groups, such as ballroom dancers, cosmetic surgeons, and tennis players, in order to communicate effectively.",320.0,2.0
29848,1367775,"The MacGregor Trilogy: MacGregor's Gathering / The Clansman / Gold for Prince Charlie (MacGregor, #1-3)",Nigel Tranter,0340405724,4.29,1996,1,12,Coronet Books (GB),5:14,4:12,3:5,2:0,1:0,total:31,1,eng,,"From 1706 to 1745, this trilogy charts the story of Rob Roy MacGregor and his gallant nephew, Gregor, both fierce opponents of their rulers' plan to unite the Scottish and English parliaments. Contains ""MacGregor's Gathering""; ""The Clansman""; and ""Gold for Prince Charlie"".",252.0,1.0
50322,2053903,"The Point Of Rescue (Spilling CID, #3)",Sophie Hannah,0340933100,3.49,2008,1,1,Hodder & Stoughton,5:1166,4:2908,3:2879,2:837,1:237,total:8027,85,en-GB,416.0,Bestselling author Sophie Hannah explores the various sides of motherhood in her third psychological suspense novel.,,
112099,4293954,Contacts,Jean-Paul Valette,0618395784,3.83,2007,12,1,Houghton Mifflin,5:12,4:10,3:10,2:1,1:2,total:35,4,eng,531.0,"Applauded for its superior grammar sequencing, four-skills presentation and practice, vocabulary control, and supportive pedagogy, CONTACTS remains one of the most popular Introductory French programs available. Now in its Eighth Edition, the program continues to reflect the realities of the contemporary French and Francophone worlds and to serve the communication needs of the new millennium. Its hallmark strengths--highly effective logical progression, clear organization, and supportive pedagogy--which have served more than half a million CONTACTS users.",,
32631,1536012,"Spencer's Forbidden Passion (The Westmorelands, #11)",Brenda Jackson,0373768389,4.28,2007,4,12,Silhouette Desire,5:539,4:298,3:144,2:36,1:11,total:1028,25,eng,,"YOU HAVE FORTY-EIGHT HOURS TO BE MY WIFE.<br /><br />Millionaire deal-maker Spencer Westmoreland would bail out Chardonnay Russell's failing Napa Valley vineyard. And in return she'd bear his children. But she shouldn't dare hope Spencer would ever fall in love with her.<br /><br />Her only choice was to accept the arrogant businessman's proposal. But becoming Spencer's wife--in every way--set her body, her heart, on fire. And soon Chardonnay wanted what was strictly forbidden....",183.0,25.0
85171,935995,Taking Sides: Clashing Views on Controversial Environmental Issues,Thomas A. Easton,0073514411,3.44,2005,31,10,McGraw-Hill/Contemporary,5:18,4:20,3:25,2:13,1:4,total:80,3,eng,,"Includes two controversial issues in a debate-style format designed to stimulate student interest and develop critical thinking skills. This book contains issuees framed with an issue summary, an issue introduction, and a postscript. It features an annotated listing of selected World Wide Web sites.",432.0,3.0
59298,2334212,A New Basis For The Metric Theory Of Congruences,Levi Stephen Shively,1418177563,0.0,2005,12,20,"Scholarly Publishing Office, University of Michigan Library",5:0,4:0,3:0,2:0,1:0,total:0,0,eng,35.0,"Excerpt from A New Basis for the Metric Theory of Congruences: A Dissertation Submitted to the Faculty of the Ogden Graduate School of Science in Candidacy for the Degree of Doctor of Philosophy, Department of Mathematics <br />In the classical theory of rectilinear congruences as developed by Kummer, the analysis is based upon two fundamental quadratic forms, formed from the expressions for the coordinates of the surface of reference and from the spherical representation of the congruence. Thus, when studied by this method, the congruence is in reality defined by its relation to two surfaces. Important results of the Kummer theory are the existence of the two focal surfaces and of two one-parameter families of developables. These results have been used by Wilczynski as the basis of his general projective theory of congruences. In the present paper also, the focal surfaces will be regarded as known by means of a parametric representation, such that the ruled surfaces u = const, and v = const, of the congruence are its developables. <br />The first section is devoted to the introduction of certain local coordinate systems, all closely related to the general line of the congruence. These coordinate systems are used to study the properties of the congruence in the neighborhood of one of its lines, as well as the properties of its Laplacian transforms. Homogeneous cartesian coordinates are introduced in the second section and the equations (D) of the Wilczynski theory are derived.",,
114648,4538410,Daily Life of the Ancient Egyptians (The Greenwood Press Daily Life Through History Series),Bob Brier,0313353069,3.94,2008,9,1,Greenwood,5:44,4:68,3:47,2:3,1:0,total:162,4,eng,311.0,"Explore the daily lives of ancient Egyptians in this exciting new update of one of the most successful Daily Life titles. Through reconstructions based on the hieroglyphic inscriptions, paintings from tombs, and scenes from temple walls, readers can examine social and material existence in one of the world's oldest civilizations. Narrative chapters explore the preparation of food and drink, religious ceremonies and cosmology, work and play, the arts, military domination, and intellectual accomplishments. With material garnered from recent excavations and research, including new content on construction, pyramid building, ship building, and metallurgy, this up-to-date volume caters to the ever-evolving needs of today's readers. A timeline, an extensive research center bibliography, and over 20 new photos make this a must-have reference source for modern students of ancient history.<br /><br /><br /><br />Explore the daily lives of ancient Egyptians in this exciting update of one of the most successful Daily Life titles. Through reconstructions based on the hieroglyphic inscriptions, paintings from tombs, and scenes from temple walls, readers can explore social and material existence in one of the world's oldest civilizations. Narrative chapters explore the preparation of food and drink, religious ceremonies and cosmology, work and play, the arts, military domination, and intellectual accomplishments.<br /><br /><br /><br />With information garnered from recent excavations and research, including new content on construction, pyramid building, ship building, and metallurgy, this up-to-date volume caters to the ever-evolving needs of today's readers. A timeline, an extensive research center bibliography, and over 20 new photos make this a must-have reference source for modern students of ancient history.",,
109932,4055855,Computer Design and Architecture,Sajjan G. Shiva,0824703685,0.0,2000,5,15,CRC,5:0,4:0,3:0,2:0,1:0,total:0,0,eng,718.0,"This unique and proven text provides a hands-on introduction to the design of a computer system-depicting, step by step, the arrangement of a simple but complete hypothetical computer followed by detailed architectural features of existing computer systems as enhancements to the structure of the simple computer. <br />Changes in the Third Edition of Computer Design and Architecture include <br />updates to reflect contemporary organizations and devices <br />new technologies and devices in combinatorial and integrated circuits <br />new technologies in sequential circuits <br />new technologies in memory and storage <br />the latest architecture examples <br />contemporary memory hierarchy concepts <p>Ideal for one- or two-semester courses <br />With end-of-chapter summaries, references, and problems, as well as over 250 drawings and tables, Computer Design and Architecture, Third Edition is a classroom-tested text for upper-level undergraduate and graduate students in electrical and computer engineering and computer science taking design courses such as Computer Systems Design, Computer Hardware Design, Computer Architecture, Computer Organization, and Assembly Language Programming.</p>",,
64996,2543380,Bill Bright and Campus Crusade for Christ: The Renewal of Evangelicalism in Postwar America,John G. Turner,0807858730,4.09,2008,3,1,University of North Carolina Press,5:12,4:15,3:4,2:1,1:1,total:33,6,eng,288.0,"Founded as a local college ministry in 1951, Campus Crusade for Christ has become one of the world's largest evangelical organizations, today boasting an annual budget of more than $500 million. Nondenominational organizations like Campus Crusade account for much of modern evangelicalism's dynamism and adaptation to mainstream American culture. Despite the importance of these ""parachurch"" organizations, says John Turner, historians have largely ignored them.<br /><br />Turner offers an accessible and colorful history of Campus Crusade and its founder, Bill Bright, whose marketing and fund-raising acumen transformed the organization into an international evangelical empire. Drawing on archival materials and more than one hundred interviews, Turner challenges the dominant narrative of the secularization of higher education, demonstrating how Campus Crusade helped reestablish evangelical Christianity as a visible subculture on American campuses. Beyond the campus, Bright expanded evangelicalism's influence in the worlds of business and politics. As Turner demonstrates, the story of Campus Crusade reflects the halting movement of evangelicalism into mainstream American society: its awkward marriage with conservative politics, its hesitancy over gender roles and sexuality, and its growing affluence.",,
66172,2590535,Morality After Auschwitz: The Radical Challenge of the Nazi Ethic,Peter J. Haas,0800608577,5.0,1988,12,1,Fortress Press (Philadelphia),5:1,4:0,3:0,2:0,1:0,total:1,1,en-US,267.0,Preface<br />Introduction<br />The Intellectual Matrix of an Ethic<br />The Growth of an Ethic<br />Ethics &amp; the Shaping of Social Institutions<br />Responding to an Ethic: The Loss of Evil<br />Afterwards: The Holocaust &amp; Us<br />Notes<br />Index<br />Acknowledgments,,
6418,1690826,Lilith,George MacDonald,0345017110,3.89,1971,3,12,"Ballantine Books, Inc. (NYC)",5:1914,4:1790,3:1206,2:419,1:149,total:5478,14,eng,,"First Ballantine Adult Fantasy Edition, 1969<br /><br />'<i>Lilith</i> is equal if not superior to the best of Poe' Wrote W.H Auden in his introduction to the 1954 reprint of George MacDonald's <i>Lilith</i>, first published in 1895.<br /><br />It is the story of Mr. Vane, an orphan and heir to a large house - a house in which he has a vision that leads him through a large old mirror into another world. In chronicling the five trips Mr. Vane makes to this other world, MacDonald hauntingly explores the ultimate mystery of evil.",274.0,14.0
76122,1708357,The Blood Spilt (Rebecka Martinsson #2),Åsa Larsson,0385340796,3.65,2007,26,12,Delta,5:1644,4:2918,3:2276,2:706,1:212,total:7756,21,eng,,"It’s midsummer in Sweden—when the light lingers through dawn and a long, isolating winter finally comes to an end. In this magical time, a brutal killer has chosen to strike. A female priest—who made enemies and acolytes in equal number—has been found hanging in her church. And a big-city lawyer quite acquainted with death enters the scene as police and parishioners try to pick up the pieces....<br /><br />Not long ago, attorney Rebecka Martinsson had to kill three men in order to stop an eerily similar murder spree—one that also involved a priest. Now she is back in Kiruna, the region of her birth, while a determined policewoman gnaws on the case and people who loved or loathed the victim mourn or revel in her demise. The further Rebecka is drawn into the mystery—a mystery that will soon take another victim—the more the dead woman’s world clutches her: a world of hurt and healing, sin and sexuality, and, above all, of sacrifice.<br /><br />In prose that is both lyrical and visceral, Åsa Larsson has crafted a novel of pure entertainment, a taut, atmospheric mystery that will hold you in thrall until the last, unforgettable page is turned<br /><br /><br /><i>From the Hardcover edition.</i>",368.0,
45425,862355,The Bone Detectives: How Forensic Anthropologists Solve Crimes and Uncover Mysteries of the Dead,Donna M. Jackson,0316829358,3.65,1996,1,4,"Little, Brown Books for Young Readers",5:20,4:26,3:28,2:6,1:3,total:83,3,en-US,,"It's said that ""dead men tell no tales"" -- yet their bones have some interesting stories to reveal. That's what police depend on when the only clues to a crime are the bones of the victim. Then it's time to call in the ""bone detectives."" <br />Following forensic anthropologist Dr. Michael Charney step-by-step through an investigation, this book shows how a person's sex, race, age, height, and weight can be determined from studying his or her bones and teeth; how markings on bones can be ""read"" to establish cause of death; how a sculptor uses clay to reconstruct a face from a skull so it can be publicized in the media and possibly recognized; and how all of this information can be used to help crack a case. <br />Curious young readers will revel in every eerie detail of award-winning journalist Donna Jackson's lively text and Charlie Fellenbaum's full-color photographs as they discover how these fascinating detectives help the stories behind the bones come to life.",48.0,3.0
632,1915342,"The Mammoth Encyclopedia of Modern Crime Fiction: The Authors, Their Works and Their Most Famous Creations",Mike Ashley,0786710063,3.73,2002,6,24,Running Press,5:6,4:8,3:5,2:2,1:1,total:22,1,eng,512.0,"Never before has there been a comprehensive, inexpensive reference guide and overview to the genre of crime fiction like The Mammoth Encyclopedia of Crime Fiction. Veteran editor Mike Ashley's historical introduction gives an overview of the crime genre, showing the background and development of crime fiction from the earliest days with Agatha Christie and Raymond Chandler through to the modern exponents of the craft such as Elmore Leonard and Ian Rankin. His A to Z covers five hundred entries on the major writers in the crime fiction field, from Edward S. Aarons to Mark Zubro, from the cult favorites to the best known, including Marjorie Allingham, Patricia Cornwell, Colin Dexter, Jim Thompson, and Minette Walters. The Mammoth Encyclopedia of Crime Fiction packs more information into its author entries than more expensive hardcover reference works. Each entry gives a brief biographical background with highlights for the cross-referenced key works, provides a full bibliography, and notes significant films/series adapted from their works. There are also added bonuses of a crime fiction glossary that defines the genre's special terms and expressions, such as ""hardboiled,"" ""impossible crime,"" and ""police procedural"" and four appendices covering key characters, key books and magazines, key films and TV series, and awards and award winners, including the Edgar Awards, the Dagger Awards, the Shamus Awards, and other important awards. Crime fiction buffs, mystery booksellers, and anyone interested in crime fiction will find The Mammoth Encyclopedia of Crime Fiction to be an indispensable reference and an unbeatable bargain.",,
71658,2827276,Blind Promises,Katy Currie,0373786166,3.77,2008,3,25,Steeple Hill,5:338,4:317,3:287,2:113,1:25,total:1080,5,eng,217.0,"Fall in love with Diana Palmer's fan-favorite story, BLIND PROMISES!<br /><br />Dana Steele's new patient, Gannon van der Vere, is a tough customer. He had run off his last four nurses, but Dana's determined she won't be the next on that list. A powerful entrepreneur until a devastating accident left his future in doubt, Gannon raged at all who approached him. Dana hoped to light a candle in his darkness--and to escape from the shadows in her own past. But when she fell in love with her curmudgeonly employer, Dana's challenge was no longer strictly professional. Could Dana and Gannon heal to find a true happily-ever-after?",,
71802,2833823,"Talking to Dragons (Enchanted Forest Chronicles, #4)",Patricia C. Wrede,0807206393,4.19,2002,8,16,Listening Library,5:15430,4:10901,3:5791,2:1085,1:364,total:33571,1,eng,7.0,"One day, Daystar's mom, Cimorene, hands him a magic sword and kicks him out of the house. Daystar doesn't know what he is supposed to <i>do</i> with the magic sword, but knowing Cimorene, he's sure it must involve a dragon or two!<br />",,
65330,2558374,"The Hapsburg Monarchy among the Great Powers, 1815-1918",F.R. Bridge,0854963073,3.0,1990,12,7,Bloomsbury Academic,5:1,4:0,3:0,2:2,1:0,total:3,1,eng,417.0,"Written by a well-known specialist , this study on the Austro-Hungarian Empire is based on a wide variety of material from Austrian, British, French and German archives and takes into account recent work by other historians of the subject, particularly the latest Austrian studies. It is supplemented by useful maps and translations of key diplomatic documents of the period.<br />",,
80815,1843325,"Evil Breeding (A Dog Lover's Mystery, #12)",Susan Conant,0385486693,3.69,1999,3,16,Doubleday,5:82,4:105,3:120,2:26,1:5,total:338,2,eng,256.0,"When dog writer Holly Winter receives her first book contract, her research leads to some surprising--and deadly--discoveries.<br /><br />Holly Winter has a contract to write the text for a book of photographs commemorating the legendary Morris and Essex Dog Shows, canine extravaganzas produced by the fabulously wealthy and famously dog-obsessed Geraldine Rockefeller Dodge in the years leading up to World War II. Needless to say, Holly is delighted with the assignment, and immediately sets out to interview one of the few remaining people who actually attended one of the shows--B. Robert Motherway, a Princeton classmate of the Dodges' late son.<br /><br />It only takes one visit for Holly to realize that there is something strange going on in the Motherway household: a wife dying painfully in an upstairs bedroom, a daughter-in-law acting as a maid, a sullen son playing the role of kennel man, and--most distressing of all--a German shepherd that growls menacingly.<br /><br />Soon Holly begins to receive mysterious anonymous packages in the mail: a leaflet describing a popular dog medication, cryptic letters written in German, a couple of old photographs. Who could be sending them, and what do they mean? When Motherway's disagreeable son is found garroted in Mount Auburn Cemetery, the circumstances convince Holly that she must find the answers before she herself becomes the next victim.<br /><br />Evil Breeding presents an intriguingly complex puzzle and provides a wealth of fascinating information about a larger-than-life, legendary dog fancier.",,
103253,3326999,The Book of Dead Philosophers,Simon Critchley,0307390438,3.6,2009,2,10,Vintage Books,5:180,4:356,3:324,2:103,1:15,total:978,35,eng,265.0,"“To philosophize is to learn how to die.” —Cicero; assassinated by order of Mark Antony<br /><br />“One who no longer is cannot suffer.” —Lucretius; suicide, allegedly driven mad by a love potion<br /><br />“Life is solitary, poor, nasty, brutish, and short.” —Hobbes; died in bed, age 91<br /><br />In this collection of brief lives (and deaths) of nearly two hundred of the world's greatest thinkers, noted philosopher Simon Critchley creates a register of mortality that is tragic, amusing, absurd, and exemplary. From the self-mocking haikus of Zen masters on their deathbeds to the last words of Christian saints and modern-day sages, this irresistible book contains much to inspire both amusement and reflection. <br /><br />Informed by Critchley's acute insight, scholarly intelligence, and sprightly wit, each entry tells its own tale, but collected together they add up to a profound and moving investigation of meaning and the possibility of happiness for us all.",,
112944,4375030,Family Carers in Palliative Care: A Guide for Health and Social Care Professionals,Peter  Hudson,0199216908,0.0,2009,1,2,OUP Oxford,5:0,4:0,3:0,2:0,1:0,total:0,0,eng,309.0,"Support for the family is a key component of palliative care practice and philosophy, with both patient and family construed as the 'unit of care'. However, there is not always formal acknowledgement of the importance of the family carer role, or that of friends, neighbours and other non-professional, informal carers. Consequently, health and social care professionals find carer support work particularly challenging. Symptom management, personal care, and administering of medications are just some of the tasks taken on by this group of non-professionals, and the impact of this role can have negative emotional, physical, financial and social implications on the care-giver. Furthermore, family carers consistently report unmet needs, and there has been a lack of intervention studies aimed at improving carer support. <br />This book therefore provides an evidence-based, practical guide to enable health and social care professionals to assess and respond to family carer needs. It also explores the wider sociological, policy, and research issues related to family carers and palliative care.",,
28142,1327580,"The Queen from Provence (Plantagenet Saga, #6)",Jean Plaidy,0099510278,3.87,2008,7,2,Arrow,5:152,4:222,3:156,2:24,1:7,total:561,11,en-GB,,"Marguerite, eldest daughter of the Count of Provence, had married a king of France - and now her sister Eleanor is determined to make just as grand a match.<br /><br />Good fortune and wily cunning bring her Henry of England. A good and generous husband but a weak king, he rules a nation that still remembers his cruel and foolish father, King John. As Henry showers gifts on his new bride his extravagance forces him to levy ever greater taxation on the land, and the spectre of revolt soon looms against him. For Simon de Montfort, the adventurer who will give England its first true parliament, the house of destiny is at hand.",386.0,11.0
46298,873206,Mister Paradise and Other One-Act Plays,Tennessee Williams,0141188421,4.14,2006,30,3,Penguin Classics,5:31,4:36,3:17,2:1,1:0,total:85,2,eng,,"The greatest playwright of the American South, Tennessee Williams used his talent throughout his life to create brief plays exploring many of the themes that dominated his best-known works. Here, thirteen never-before-published one-act dramas reveal some of his most poignant and hilarious characters. From the indefatigable, witty and tough drag queens of And Tell Sad Stories of the Death of Queens to the disheartened poet Mister Paradise, and the extravagant mistress in The Pink Bedroom, these are tales of isolated figures struggling against a cruel world, who refuse to lose sight of their dreams.",245.0,2.0
2448,1966495,The Killing Art,Jonathan Santlofer,0060541075,3.67,2005,10,11,William Morrow,5:58,4:89,3:83,2:25,1:3,total:258,1,eng,384.0,"History and fiction collide with deadly consequences in the third Kate McKinnon novel—a story of bitter revenge, where the past invades the present and a decades-old secret proves fatal<br /><br />Kate McKinnon has lived many lives, from Queens cop to Manhattan socialite, television art historian, and the woman who helped the NYPD capture the Death Artist and the Color Blind killer. But that's the past. Now, devastated by the death of her husband, Kate is attempting to quietly rebuild her life as a single woman. Gone are the Park Avenue penthouse and designer clothes. Now it's a funky Chelsea loft, downtown fashion, and even a hip new haircut as Kate plunges back into her work—writing a book about America's most celebrated artistic era, the New York School of the 1940s and '50s, a circle that included Jackson Pollock, Willem de Kooning, and Mark Rothko.<br /><br />But when a lunatic starts slashing the very paintings she is writing about—along with their owners—Kate is once again tapped by the NYPD. As she deciphers the evidence—cryptic images that reveal both the paintings and the people who will be the next targets—Kate is drawn into a world where art and art history provide lethal clues.<br /><br /><i>The Killing Art</i> is Jonathan Santlofer's most gripping and chilling story yet, but that isn't the only reason the novel is remarkable. The author, who is also an acclaimed artist, has created works of art just for the book that tantalize and challenge readers by using well-known symbols in innovative ways, allowing them to decode the clues along with Kate. A masterwork of both suspense fiction and art, <i>The Killing Art</i> will impress both thriller readers and art fans as the plot twists and turns toward a shocking climax.",,
111186,4191602,The Western Front Illustrated: 1914-1918,John Laffin,0750914386,2.0,2004,4,23,Sutton Publishing,5:0,4:0,3:0,2:1,1:0,total:1,0,eng,192.0,With many illustrations this book provides the clearest and most dramatic impressions of World War I.,,
104231,3372529,"Payment In Blood (Inspector Lynley, #2)",Elizabeth  George,0553175114,4.01,1990,10,26,Bantam,5:5455,4:8199,3:3923,2:486,1:113,total:18176,5,eng,395.0,"The career of playwright Joy Sinclair comes to an abrupt end on an isolated estate in the Scottish Highlands when someone drives an eighteen-inch dirk through her neck. Called upon to investigate the case in a country where they have virtually no authority, aristocratic Detective Inspector Thomas Lynley and his partner, Detective Sergeant Barbara Havers, grapple for both a motive and a murderer. Emotions run deep in this highly charged drama, for the list of suspects soon includes Britain's foremost actress, its most successful theatrical producer, and the woman Lynley loves. He and Havers must tread carefully through the complicated terrain of human relationships, while they work to solve a case rooted in the darkest corners of the past and the unexplored regions of the human heart.",,
